mid,action,adventure,comedy,crime,drama,fantasy,horror,romance,sci-fi,thriller,split0,split1,split2
tt0134630,0,0,1,0,1,0,0,1,0,0,2,0,1
tt0134847,0,0,0,0,0,0,1,0,1,0,2,2,2
tt0138524,0,0,1,1,0,0,0,1,0,0,2,2,0
tt0138681,0,0,1,1,1,0,0,1,0,0,0,2,2
tt0138749,0,1,1,0,0,0,0,1,0,0,0,0,0
tt0138946,0,0,0,1,1,0,0,1,0,1,2,0,0
tt0139388,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0139654,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0141399,0,0,1,0,1,0,0,1,0,0,0,0,2
tt0141926,1,0,0,0,0,0,0,0,0,0,2,2,0
tt0144084,0,0,1,1,1,0,0,0,0,0,0,0,0
tt0144142,0,0,1,0,1,0,0,0,0,0,0,0,2
tt0144528,0,0,1,0,0,0,0,1,1,0,2,0,0
tt0144608,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0144964,1,1,0,0,0,1,0,0,1,0,0,0,0
tt0145487,1,1,0,0,0,0,0,0,1,0,0,0,0
tt0146309,0,0,0,0,1,0,0,0,0,1,0,0,0
tt0146316,1,1,0,0,0,1,0,0,0,1,0,0,0
tt0146882,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0146984,0,0,0,0,1,1,0,0,0,0,0,0,0
tt0149367,0,0,1,1,1,0,0,0,0,0,0,2,0
tt0149624,0,0,0,0,1,0,0,1,0,0,0,2,0
tt0150021,1,0,1,0,0,0,0,0,0,0,0,0,0
tt0151150,1,0,0,0,1,0,0,1,0,0,0,1,0
tt0156323,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0156741,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0156757,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0156812,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0156841,0,0,1,0,1,0,0,1,0,0,1,2,0
tt0157122,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0157262,0,0,1,0,0,0,0,0,1,0,0,1,0
tt0157472,1,1,1,0,0,0,0,0,1,1,0,0,2
tt0158622,0,0,1,0,0,0,0,1,1,0,0,0,0
tt0159097,0,0,0,0,1,0,0,1,0,0,0,0,1
tt0159273,1,0,0,0,1,0,0,0,0,1,0,0,0
tt0159365,0,1,0,0,1,0,0,1,0,0,0,0,2
tt0159784,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0160009,1,1,0,1,0,0,0,0,0,1,0,1,0
tt0160127,1,1,1,1,0,0,0,0,0,1,0,0,0
tt0160184,0,0,0,1,0,0,1,0,0,1,0,0,0
tt0160289,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0160399,0,0,0,0,1,0,0,0,1,1,0,0,0
tt0160484,0,0,0,0,1,0,1,0,0,1,0,1,0
tt0160495,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0160611,0,0,1,1,0,0,0,0,0,0,0,0,2
tt0160644,0,0,0,0,1,0,0,1,1,1,0,2,0
tt0160706,0,0,0,1,1,0,0,0,0,1,1,2,0
tt0160797,0,0,0,0,1,0,0,0,0,1,0,0,0
tt0161081,0,0,0,0,1,1,1,0,0,1,1,0,0
tt0161083,0,0,1,1,0,0,0,0,0,0,0,0,2
tt0162222,0,1,0,0,1,0,0,1,0,0,0,0,1
tt0162346,0,0,1,0,1,0,0,0,0,0,0,0,1
tt0162650,1,0,0,1,0,0,0,0,0,1,0,0,0
tt0162711,0,0,1,1,0,0,0,1,0,0,1,1,2
tt0163025,1,1,0,0,0,0,0,0,1,1,0,2,2
tt0163676,0,0,0,0,1,0,0,0,0,1,0,1,0
tt0163978,0,1,0,0,1,0,0,1,0,1,0,0,0
tt0163983,0,0,0,1,1,0,1,0,0,1,0,0,2
tt0164003,0,0,0,1,1,0,0,0,0,1,0,0,2
tt0164052,1,0,0,0,0,0,1,0,1,1,0,0,0
tt0164184,1,0,0,0,1,0,0,0,0,1,0,0,0
tt0164212,0,0,0,1,1,0,0,0,0,1,2,2,1
tt0164334,0,0,0,0,1,0,0,0,0,1,0,2,0
tt0164961,1,0,0,1,0,1,0,0,1,1,0,0,2
tt0165361,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0165832,0,1,1,0,1,1,0,0,0,0,0,2,0
tt0165929,1,0,0,1,0,0,0,0,0,1,1,1,0
tt0165982,0,1,0,0,0,1,0,0,0,0,0,0,0
tt0166110,0,0,0,1,0,0,1,0,0,0,1,2,2
tt0166158,0,0,1,0,1,0,0,0,0,0,0,1,0
tt0166276,0,0,1,0,0,1,0,0,0,0,0,0,0
tt0166370,0,0,0,0,0,1,1,0,0,0,0,1,0
tt0166813,0,1,0,0,1,0,0,0,0,0,0,0,1
tt0166924,0,0,0,0,1,0,0,0,0,1,0,0,2
tt0167190,1,0,0,0,0,1,1,0,1,0,0,0,0
tt0167203,0,1,0,0,1,0,0,1,0,0,0,2,0
tt0167260,0,1,0,0,1,1,0,0,0,0,0,0,0
tt0167261,0,1,0,0,1,1,0,0,0,0,0,0,2
tt0167456,1,1,1,0,0,0,0,0,1,0,0,2,0
tt0168504,1,0,1,1,1,0,0,0,0,1,0,2,0
tt0168629,0,0,0,1,1,0,0,0,0,0,0,0,2
tt0168856,0,1,1,0,1,1,0,0,1,0,2,2,0
tt0169102,0,1,0,0,1,0,0,0,0,0,1,1,0
tt0169324,0,0,0,1,1,0,0,0,0,1,0,0,1
tt0170016,0,0,1,0,0,1,0,0,0,0,0,2,0
tt0171356,0,0,1,1,0,0,0,1,0,0,2,0,0
tt0171433,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0171580,0,0,1,1,1,0,0,1,0,0,0,0,2
tt0172156,1,0,1,1,0,0,0,0,0,1,0,0,0
tt0172495,1,1,0,0,1,0,0,0,0,0,2,0,0
tt0173840,1,1,0,0,0,1,0,1,1,0,0,0,0
tt0174480,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0175142,0,0,1,0,0,0,0,0,0,0,0,1,1
tt0175203,0,0,0,0,1,1,0,0,0,0,0,2,1
tt0175526,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0176694,0,0,0,0,1,0,0,0,1,0,0,0,0
tt0176783,0,0,0,0,1,0,0,0,0,1,2,0,0
tt0177068,0,0,0,1,1,0,0,0,0,0,1,1,0
tt0177858,0,1,1,0,0,0,0,1,0,0,0,1,0
tt0177882,1,0,1,0,0,0,0,1,0,0,0,0,0
tt0177971,1,1,0,0,1,0,0,0,0,1,0,0,0
tt0179183,1,0,0,0,0,0,0,0,1,0,2,2,0
tt0179626,1,0,0,1,1,0,0,0,0,1,0,2,0
tt0179861,1,0,0,0,1,0,0,0,0,0,1,0,0
tt0180052,1,0,1,0,0,0,0,0,1,0,0,0,2
tt0180734,0,0,0,0,1,0,0,0,0,0,0,2,0
tt0181151,0,0,1,0,0,0,0,0,1,0,1,0,2
tt0181689,1,0,0,1,0,0,0,0,1,1,2,0,2
tt0181836,1,0,1,0,0,1,0,0,1,0,0,2,1
tt0181852,1,0,0,0,0,0,0,0,1,0,2,2,0
tt0181865,0,0,0,1,1,0,0,0,0,1,0,2,0
tt0181875,0,1,1,0,1,0,0,0,0,0,0,0,2
tt0181984,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0183505,0,0,1,0,0,0,0,0,0,0,2,0,0
tt0183523,0,1,0,0,0,0,0,0,1,1,2,0,1
tt0183649,0,0,0,1,0,0,0,0,0,1,0,0,2
tt0183790,1,1,0,0,0,0,0,1,0,0,1,0,1
tt0183869,1,0,1,1,0,0,0,0,0,0,2,0,0
tt0184791,0,0,0,0,1,0,0,1,0,1,2,0,0
tt0184858,1,1,0,1,1,0,0,0,0,1,2,0,0
tt0184894,1,1,1,0,0,0,0,0,0,0,0,0,0
tt0184907,0,1,1,0,0,0,0,0,0,0,2,0,2
tt0185014,0,0,1,0,1,0,0,0,0,0,1,2,0
tt0185183,1,1,0,0,0,0,0,0,1,0,0,0,0
tt0185431,0,0,1,0,0,1,0,0,0,0,0,2,0
tt0186045,0,0,1,1,0,0,0,0,0,0,2,1,0
tt0186151,0,0,0,1,1,0,0,0,1,1,0,0,0
tt0186183,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0186566,1,1,0,0,0,0,0,0,0,1,0,0,0
tt0186589,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0186894,0,0,0,0,1,0,0,1,0,0,1,0,0
tt0186975,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0187078,1,0,0,1,0,0,0,0,0,1,0,2,0
tt0187393,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0187512,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0187696,0,0,0,0,0,0,1,0,0,1,2,0,1
tt0187738,1,0,0,0,0,0,1,0,1,1,0,0,0
tt0188055,0,0,0,0,0,0,0,0,0,1,1,0,0
tt0188453,0,0,1,1,0,0,0,0,0,1,2,2,0
tt0189192,0,0,1,0,0,1,0,0,1,0,2,0,0
tt0189456,0,0,1,0,0,0,1,0,0,1,0,2,0
tt0189998,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0190138,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0190332,1,1,0,0,0,1,0,1,0,0,1,0,2
tt0190374,1,1,0,0,0,1,0,0,0,0,2,2,0
tt0190590,0,1,1,1,0,0,0,0,0,0,0,0,2
tt0190861,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0190865,1,1,0,0,1,0,0,0,0,1,0,0,1
tt0191037,0,0,0,1,1,0,0,0,0,1,2,2,2
tt0191074,0,0,0,0,1,0,0,0,0,1,0,0,1
tt0191133,0,0,1,0,1,0,0,1,0,0,2,0,0
tt0191397,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0191754,0,0,1,0,1,0,0,0,0,0,2,0,0
tt0191996,0,0,0,1,0,0,0,0,0,1,2,0,0
tt0192071,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0192111,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0192255,0,1,1,0,0,1,0,0,0,0,0,0,0
tt0192455,0,0,1,1,0,1,0,0,0,0,0,0,2
tt0192614,1,0,0,1,1,0,0,0,0,1,0,1,0
tt0192731,0,0,0,0,0,0,1,0,0,1,1,0,0
tt0193318,0,1,0,0,0,1,1,0,0,0,0,0,0
tt0193364,1,1,1,0,0,0,0,0,0,0,0,0,2
tt0193560,1,1,0,0,1,0,0,0,0,1,0,0,0
tt0194218,0,0,1,1,1,0,0,0,0,0,0,2,0
tt0194368,0,0,1,1,0,0,0,0,0,0,2,0,0
tt0195234,0,0,1,1,0,0,0,0,0,0,1,2,1
tt0195685,0,0,0,0,1,0,0,0,0,0,0,2,0
tt0195714,0,0,0,0,0,0,1,0,0,1,2,0,1
tt0195778,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0195945,0,0,1,0,0,0,0,0,0,0,2,0,0
tt0196158,1,0,0,1,0,0,0,0,0,1,0,0,2
tt0196229,0,0,1,0,0,0,0,0,0,0,0,0,2
tt0196708,0,0,0,0,1,0,0,0,0,1,0,1,0
tt0196811,0,0,0,0,1,0,0,1,0,0,0,0,2
tt0197750,0,0,0,1,0,0,1,0,0,1,0,2,0
tt0198386,0,0,1,1,0,0,0,0,0,0,2,0,0
tt0198781,0,1,1,0,0,1,0,0,0,0,0,0,1
tt0199314,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0199481,0,1,0,0,1,0,0,0,0,0,0,0,0
tt0199626,0,0,0,0,0,0,0,0,0,1,2,0,0
tt0199725,0,0,0,0,1,0,0,1,0,0,1,2,0
tt0199727,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0199753,1,0,0,0,0,0,0,0,1,1,0,0,0
tt0199974,0,0,0,1,1,0,0,0,0,1,1,2,1
tt0200027,0,0,1,0,1,0,0,0,0,0,0,2,2
tt0200465,0,0,0,1,0,0,0,0,0,1,0,1,0
tt0200550,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0200720,0,0,0,0,1,0,0,1,0,0,1,0,0
tt0201479,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0202314,1,0,0,0,0,0,0,0,1,1,2,0,0
tt0202402,0,0,1,0,1,0,0,1,0,0,0,2,1
tt0202470,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0202623,0,0,1,0,0,0,0,1,0,0,0,2,0
tt0202677,1,0,0,1,1,0,0,0,0,1,2,0,0
tt0203009,0,0,0,0,1,0,0,1,0,0,0,2,2
tt0203019,0,0,0,0,1,0,0,0,0,0,0,2,0
tt0203119,0,0,0,1,1,0,0,0,0,1,0,0,2
tt0203540,0,0,1,1,0,0,0,1,0,0,2,2,2
tt0203755,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0203940,0,0,0,0,0,0,1,0,1,1,0,0,0
tt0203975,0,0,0,1,1,0,0,1,0,0,2,0,0
tt0204137,0,0,0,1,1,0,0,0,0,0,2,0,0
tt0204175,0,0,1,0,1,0,0,1,0,0,0,1,2
tt0204313,0,0,0,0,0,0,1,0,0,1,0,2,2
tt0204322,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0204350,0,0,1,1,0,0,0,0,0,0,2,0,2
tt0204626,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0204640,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0204946,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0205271,0,0,1,0,1,0,0,1,0,0,0,2,2
tt0205418,0,0,0,0,0,0,0,0,0,1,2,0,0
tt0205461,0,1,1,0,1,1,0,0,0,0,0,1,0
tt0205873,0,0,1,0,1,0,0,0,0,0,0,2,2
tt0206226,0,0,1,0,0,0,1,0,0,0,0,0,0
tt0206275,0,0,0,0,1,0,0,1,0,0,0,0,1
tt0206314,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0206367,0,0,0,0,1,0,0,0,0,0,1,0,2
tt0206420,0,0,1,0,0,1,0,1,0,0,0,2,0
tt0206634,0,0,0,0,1,0,0,0,0,1,0,1,0
tt0206917,0,0,0,0,1,0,0,1,0,0,2,0,0
tt0206926,0,0,1,0,0,0,0,1,0,0,2,0,0
tt0206963,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0207036,0,0,0,1,1,0,0,0,0,1,0,0,2
tt0207198,1,0,1,0,1,0,0,1,0,1,0,1,0
tt0207201,0,0,1,0,0,1,0,1,0,0,0,0,1
tt0207377,1,1,0,0,0,0,0,0,0,1,0,0,0
tt0207524,0,0,1,0,1,0,0,0,0,0,0,2,0
tt0208003,1,0,1,1,0,0,0,0,0,0,0,0,0
tt0208092,0,0,1,1,0,0,0,0,0,0,0,0,0
tt0208181,0,0,0,1,0,0,0,0,0,0,2,0,0
tt0208196,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0208298,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0208874,0,0,0,0,1,0,0,0,0,1,0,0,0
tt0208988,1,0,0,1,1,0,0,0,0,1,0,0,0
tt0209144,0,0,0,0,0,0,0,0,0,1,0,0,2
tt0209163,1,1,0,0,0,1,0,0,0,1,0,1,0
tt0209475,0,0,1,0,0,0,0,1,0,0,2,0,2
tt0209958,0,0,0,0,0,0,1,0,1,1,0,1,0
tt0210065,0,0,0,1,1,0,0,0,0,1,2,0,1
tt0210070,0,0,0,0,1,1,1,0,0,0,2,2,2
tt0210358,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0210382,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0210616,0,0,0,0,1,0,0,1,0,0,0,0,2
tt0210943,0,0,1,0,0,0,0,0,0,0,0,1,0
tt0210945,0,0,0,0,1,0,0,0,0,0,0,0,1
tt0211181,0,1,1,0,0,0,0,0,0,0,0,1,2
tt0211387,0,0,1,0,1,0,0,1,0,0,1,2,0
tt0211443,1,0,0,0,0,0,1,0,1,1,0,0,0
tt0211465,0,0,0,1,1,0,0,0,0,1,0,0,2
tt0211661,0,0,1,0,0,0,1,1,0,1,2,2,0
tt0211915,0,0,1,0,0,0,0,1,0,0,0,2,2
tt0211933,0,0,0,1,1,0,0,0,0,1,0,2,2
tt0211938,1,0,1,1,0,0,0,0,0,1,0,2,0
tt0211946,0,0,1,0,1,0,0,0,0,0,0,0,2
tt0212338,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0212346,1,0,1,1,0,0,0,1,0,0,0,0,0
tt0212380,0,0,1,0,1,0,0,1,0,0,0,1,0
tt0212720,0,0,0,0,1,0,0,0,1,0,0,0,0
tt0212742,0,0,0,1,1,0,0,0,0,1,0,0,2
tt0212815,0,0,1,0,1,0,0,1,0,0,2,2,0
tt0212830,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0212867,1,1,1,0,0,1,1,0,1,0,2,2,0
tt0212985,0,0,0,1,1,0,0,0,0,1,0,2,0
tt0213149,1,0,0,0,1,0,0,1,0,0,0,0,0
tt0213203,0,1,1,0,0,0,0,1,0,0,0,0,2
tt0213790,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0213847,0,0,1,0,1,0,0,1,0,0,0,2,0
tt0213890,0,0,0,0,1,0,0,1,0,0,2,0,2
tt0214529,0,0,0,0,0,1,1,0,0,0,0,0,1
tt0214871,1,0,0,0,1,0,0,0,1,1,0,2,0
tt0215129,0,0,1,0,0,0,0,0,0,0,0,2,2
tt0215545,0,0,1,0,1,0,0,0,0,0,1,0,0
tt0215750,0,0,0,0,1,0,0,0,0,0,2,2,0
tt0216216,1,0,0,0,0,0,0,0,1,1,0,0,2
tt0216651,1,0,0,0,0,1,1,0,1,0,2,1,0
tt0216746,0,0,1,0,0,0,0,1,0,0,1,0,2
tt0216772,1,0,0,1,1,0,0,0,0,0,2,2,0
tt0216787,0,0,1,0,1,0,0,1,0,0,0,0,0
tt0216800,0,0,1,0,1,0,0,0,0,1,0,0,0
tt0217019,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0217086,0,0,0,0,0,0,1,0,0,1,2,0,0
tt0217119,0,0,0,1,1,0,0,0,0,1,2,0,1
tt0217331,0,0,1,0,0,1,1,0,0,0,0,0,2
tt0217505,0,0,0,1,1,0,0,0,0,0,2,0,0
tt0217629,0,0,1,0,1,0,0,1,0,0,1,2,0
tt0217630,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0217654,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0217756,0,0,1,0,0,0,0,0,0,0,0,1,2
tt0217869,0,0,0,0,1,0,0,0,1,1,2,2,0
tt0217978,0,0,0,1,1,0,0,0,0,0,2,0,0
tt0218141,0,0,0,0,1,1,0,1,0,0,0,0,0
tt0218378,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0218619,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0218625,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0218839,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0218864,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0218922,0,0,0,0,1,0,0,1,0,1,0,2,0
tt0218967,0,0,1,0,1,1,0,1,0,0,2,0,0
tt0219171,0,0,0,1,1,0,0,0,0,1,1,1,0
tt0219400,0,0,1,0,0,0,0,1,0,0,0,0,2
tt0219653,1,0,0,0,0,1,1,0,0,1,0,2,0
tt0219699,0,0,0,0,1,1,1,0,0,0,0,0,0
tt0219822,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0219854,0,0,1,0,0,1,0,0,0,0,0,0,2
tt0219952,0,0,1,1,0,0,0,0,0,0,2,0,0
tt0219965,0,0,1,1,1,0,0,1,0,0,0,1,0
tt0220099,0,0,1,0,1,0,0,0,0,0,2,1,0
tt0220506,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0220623,1,0,0,1,0,0,0,0,0,1,0,2,0
tt0220827,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0221027,0,0,0,1,1,0,0,0,0,0,2,0,0
tt0221069,0,0,0,0,0,0,1,0,0,1,0,1,1
tt0221073,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0221218,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0221838,0,0,0,0,1,0,0,1,0,0,0,2,0
tt0221889,0,0,1,1,1,0,0,0,0,1,0,0,0
tt0221928,0,0,0,0,1,0,1,0,0,1,0,0,0
tt0222012,0,0,0,1,1,0,0,0,0,0,0,2,1
tt0222293,0,0,0,1,1,0,0,0,1,0,0,0,2
tt0222812,0,0,1,0,0,0,1,0,1,0,1,0,0
tt0222850,0,0,1,0,1,0,0,1,0,0,0,1,1
tt0222851,0,0,0,1,1,0,0,0,0,1,0,0,0
tt0223268,0,0,0,0,1,1,1,1,0,0,0,2,1
tt0223832,0,1,0,0,1,0,0,0,0,0,2,0,0
tt0223897,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0225071,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0225683,1,0,0,0,0,0,0,0,1,1,0,0,1
tt0227005,0,0,1,1,1,0,0,0,0,1,0,0,2
tt0227277,0,0,0,1,1,0,0,1,0,1,0,2,0
tt0227445,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0227538,1,1,1,0,0,0,0,0,1,0,0,0,2
tt0227984,1,0,1,1,0,0,0,0,0,1,0,1,2
tt0228333,1,0,0,0,0,0,1,0,1,0,1,0,0
tt0228750,1,0,0,0,1,0,0,0,0,1,0,2,0
tt0228786,0,0,0,1,0,0,1,0,0,1,0,0,0
tt0229260,0,1,0,0,0,1,1,0,0,1,0,2,0
tt0229340,0,0,0,1,1,0,0,1,0,0,0,0,2
tt0229664,0,0,1,0,0,0,0,1,1,0,0,2,2
tt0230011,1,1,0,0,0,1,0,0,1,0,0,0,2
tt0230030,0,0,1,0,0,1,0,0,0,0,0,0,0
tt0230169,0,0,0,1,1,0,1,0,0,1,2,2,1
tt0230600,0,0,0,0,0,0,1,0,0,1,2,0,0
tt0230838,0,0,0,0,1,0,0,1,0,0,1,0,2
tt0231402,1,1,1,1,0,0,0,0,0,0,1,0,0
tt0231775,0,0,1,0,0,1,0,0,0,0,0,0,0
tt0232500,1,0,0,1,0,0,0,0,0,1,0,2,0
tt0233142,1,0,1,1,0,0,0,0,0,1,0,1,2
tt0233277,0,0,0,0,0,1,0,0,0,0,2,2,0
tt0233469,1,0,0,0,1,0,0,0,0,1,2,1,0
tt0233656,1,1,0,1,1,0,0,0,0,1,0,0,0
tt0234000,1,0,0,0,0,0,0,1,0,0,2,2,0
tt0234215,1,0,0,0,0,0,0,0,1,0,1,1,0
tt0234570,0,0,1,0,1,1,0,0,0,0,0,0,0
tt0234829,0,0,1,0,1,0,0,1,0,0,1,0,0
tt0235553,1,0,1,1,0,0,0,1,0,0,0,2,2
tt0235596,0,0,1,0,1,1,0,0,0,0,0,0,2
tt0235618,0,0,1,0,1,1,0,0,0,0,2,0,0
tt0235679,1,1,0,0,0,1,0,0,1,0,2,1,0
tt0235712,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0235737,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0236027,1,0,1,1,0,0,0,0,0,0,0,1,0
tt0236034,0,0,1,0,0,0,0,1,0,0,2,0,2
tt0236157,0,0,0,1,1,0,0,1,0,0,2,0,0
tt0236348,0,0,1,0,0,0,0,0,0,0,0,0,1
tt0236493,0,1,1,1,0,0,0,1,0,0,0,2,0
tt0236640,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0236784,0,0,1,0,1,0,0,0,0,1,0,0,2
tt0237534,1,1,0,0,1,0,1,0,0,1,0,2,0
tt0237539,0,0,1,0,0,0,0,1,0,0,0,2,0
tt0237572,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0237993,0,0,1,0,0,0,0,1,0,0,0,2,0
tt0238112,0,0,0,0,1,0,0,1,0,0,0,2,0
tt0238119,0,0,1,1,0,0,0,0,0,0,2,0,0
tt0238380,1,0,0,0,1,0,0,0,1,1,2,0,0
tt0238463,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0238546,0,0,0,0,1,1,1,0,0,0,0,0,0
tt0238552,1,0,0,0,0,0,0,0,1,1,0,2,2
tt0238660,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0238883,1,0,0,1,0,0,0,0,0,1,2,0,0
tt0238924,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0238948,1,0,1,1,0,0,0,0,0,1,0,0,0
tt0239102,0,0,0,0,1,1,1,1,0,0,0,0,1
tt0239395,1,0,1,0,0,1,0,0,0,0,0,2,0
tt0239450,0,0,1,0,0,1,0,1,0,0,1,2,0
tt0239655,1,0,1,1,0,1,0,0,0,1,0,0,0
tt0239949,0,0,1,0,0,0,0,1,0,0,1,0,1
tt0240200,0,0,0,0,1,0,0,0,0,0,0,2,2
tt0240462,0,0,1,0,0,1,0,0,0,0,1,0,2
tt0240468,1,0,1,0,0,0,0,0,0,0,0,0,2
tt0240510,1,1,0,0,1,0,0,1,0,0,0,0,2
tt0240515,0,0,1,0,0,0,0,0,0,0,0,0,2
tt0240772,0,0,0,1,0,0,0,0,0,1,0,1,0
tt0240890,0,0,1,0,0,0,0,1,0,0,0,0,0
tt0240900,0,0,1,0,0,0,0,1,0,0,0,2,2
tt0241303,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0241527,0,1,0,0,0,1,0,0,0,0,0,0,2
tt0242150,0,0,0,0,0,0,0,0,1,1,0,0,0
